Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
40, 256, 1, 1, 32, 0.152823, 0.113669, N/A, 0.000510923, 0.0007901, 0.0125538, 0.000842414, 2, 2, 1, 2, 1, 1, 56.7907, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4096, 1, 1, 32, 0.240017, 0.1873, N/A, 0.00223738, 0.00268956, 0.182015, 0.0104796, 2, 2, 4, 8, 1, 1, 73.0431, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4096, 1, 1, 32, 0.240017, 0.1873, N/A, 0.00223738, 0.00268956, 0.182015, 0.0104796, 2, 2, 4, 8, 1, 1, 73.0431, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 32, 0.152823, 0.113669, N/A, 0.000510923, 0.0007901, 0.0125538, 0.000842414, 2, 2, 1, 2, 1, 1, 56.7907, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 912, 1, 1, 32, 0.178759, 0.14444, N/A, 0.000939464, 0.00134594, 0.0365317, 0.0024371, 2, 2, 2, 4, 1, 1, 69.9334, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 912, 1, 1, 32, 0.178759, 0.14444, N/A, 0.000939464, 0.00134594, 0.0365317, 0.0024371, 2, 2, 2, 4, 1, 1, 69.9334, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 32, 0.152823, 0.113669, N/A, 0.000510923, 0.0007901, 0.0125538, 0.000842414, 2, 2, 1, 2, 1, 1, 56.7907, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 912, 1, 1, 32, 0.178759, 0.14444, N/A, 0.000939464, 0.00134594, 0.0365317, 0.0024371, 2, 2, 2, 4, 1, 1, 69.9334, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 912, 1, 1, 32, 0.178759, 0.14444, N/A, 0.000939464, 0.00134594, 0.0365317, 0.0024371, 2, 2, 2, 4, 1, 1, 69.9334, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 32, 0.152823, 0.113669, N/A, 0.000510923, 0.0007901, 0.0125538, 0.000842414, 2, 2, 1, 2, 1, 1, 56.7907, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 912, 1, 1, 32, 0.178759, 0.14444, N/A, 0.000939464, 0.00134594, 0.0365317, 0.0024371, 2, 2, 2, 4, 1, 1, 69.9334, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 912, 1, 1, 32, 0.178759, 0.14444, N/A, 0.000939464, 0.00134594, 0.0365317, 0.0024371, 2, 2, 2, 4, 1, 1, 69.9334, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 32, 0.152823, 0.113669, N/A, 0.000510923, 0.0007901, 0.0125538, 0.000842414, 2, 2, 1, 2, 1, 1, 56.7907, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 912, 1, 1, 32, 0.178759, 0.14444, N/A, 0.000939464, 0.00134594, 0.0365317, 0.0024371, 2, 2, 2, 4, 1, 1, 69.9334, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 912, 1, 1, 32, 0.178759, 0.14444, N/A, 0.000939464, 0.00134594, 0.0365317, 0.0024371, 2, 2, 2, 4, 1, 1, 69.9334, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 32, 0.152823, 0.113669, N/A, 0.000510923, 0.0007901, 0.0125538, 0.000842414, 2, 2, 1, 2, 1, 1, 56.7907, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 456, 1, 1, 32, 0.166779, 0.124806, N/A, 0.000569683, 0.00109156, 0.0205493, 0.00130043, 2, 2, 1, 2, 1, 1, 65.5303, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 456, 1, 1, 32, 0.166779, 0.124806, N/A, 0.000569683, 0.00109156, 0.0205493, 0.00130043, 2, 2, 1, 2, 1, 1, 65.5303, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 32, 0.152823, 0.113669, N/A, 0.000510923, 0.0007901, 0.0125538, 0.000842414, 2, 2, 1, 2, 1, 1, 56.7907, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 456, 1, 1, 32, 0.166779, 0.124806, N/A, 0.000569683, 0.00109156, 0.0205493, 0.00130043, 2, 2, 1, 2, 1, 1, 65.5303, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 456, 1, 1, 32, 0.166779, 0.124806, N/A, 0.000569683, 0.00109156, 0.0205493, 0.00130043, 2, 2, 1, 2, 1, 1, 65.5303, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 32, 0.152823, 0.113669, N/A, 0.000510923, 0.0007901, 0.0125538, 0.000842414, 2, 2, 1, 2, 1, 1, 56.7907, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 456, 1, 1, 32, 0.166779, 0.124806, N/A, 0.000569683, 0.00109156, 0.0205493, 0.00130043, 2, 2, 1, 2, 1, 1, 65.5303, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 456, 1, 1, 32, 0.166779, 0.124806, N/A, 0.000569683, 0.00109156, 0.0205493, 0.00130043, 2, 2, 1, 2, 1, 1, 65.5303, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
